年月日,時分,採水位置,水温 (℃),ｐＨ,ＤＯ (mg/l),導電率 (ms/m),濁度 (度),ＣＯＤ (mg/l)
2020/04/07,08:00,流心,14.1,7.0,7.0,32.4,5.2,6.6
2020/04/07,09:00,流心,14.2,7.0,7.4,32.4,5.6,6.3
2020/04/07,10:00,流心,14.9,7.0,7.4,31.7,6.0,6.4
2020/04/07,11:00,流心,15.4,7.0,7.4,32.3,6.4,6.2
2020/04/07,12:00,流心,16.0,7.0,7.4,32.4,6.4,6.3
2020/04/07,13:00,流心,16.9,7.0,7.5,31.8,6.4,6.0
2020/04/07,14:00,流心,16.8,7.0,7.5,31.4,6.4,6.2
2020/04/07,15:00,流心,17.2,7.0,7.7,30.9,6.8,6.0
2020/04/07,16:00,流心,17.4,7.0,7.5,30.8,6.6,6.0
2020/04/07,17:00,流心,17.8,7.1,7.4,30.5,6.6,6.0
2020/04/07,18:00,流心,17.4,7.0,7.1,30.7,6.4,5.8
2020/04/07,19:00,流心,17.4,7.1,7.0,30.1,7.2,5.8
2020/04/07,20:00,流心,16.7,7.0,6.7,30.4,6.4,5.9
2020/04/07,21:00,流心,16.6,7.1,6.8,31.0,6.6,6.0
2020/04/07,22:00,流心,16.2,7.1,6.7,31.6,6.0,5.8
2020/04/07,23:00,流心,16.3,7.0,6.8,31.1,6.2,6.0
2020/04/07,24:00,流心,16.0,7.0,6.7,30.6,5.8,5.8
2020/04/08,01:00,流心,15.8,7.0,6.8,30.5,6.0,5.9
2020/04/08,02:00,流心,15.6,7.0,6.7,29.9,5.6,5.8
2020/04/08,03:00,流心,15.4,7.0,6.9,30.2,5.6,5.7
2020/04/08,04:00,流心,15.4,7.0,6.7,30.1,5.2,5.7
2020/04/08,05:00,流心,14.9,7.0,6.8,30.6,5.6,5.8
2020/04/08,06:00,流心,14.8,7.0,6.6,30.6,5.2,5.8
2020/04/08,07:00,流心,14.7,7.0,6.9,31.4,5.6,5.8
2020/04/08,08:00,流心,14.8,7.0,6.8,31.6,5.6,6.1
2020/04/08,09:00,流心,15.2,7.0,7.2,31.3,5.8,6.1
2020/04/08,10:00,流心,15.6,7.0,7.2,31.3,6.0,6.3
2020/04/08,11:00,流心,16.4,7.0,7.4,31.2,6.8,6.2
2020/04/08,12:00,流心,16.9,7.0,7.3,31.1,6.6,6.1
2020/04/08,13:00,流心,17.4,7.0,7.4,30.8,6.4,6.3
2020/04/08,14:00,流心,17.6,7.0,7.4,30.6,6.4,6.0
2020/04/08,15:00,流心,18.0,7.0,7.5,30.6,6.2,6.0
2020/04/08,16:00,流心,18.0,7.1,7.4,30.6,6.4,5.8
2020/04/08,17:00,流心,18.2,7.1,7.5,30.5,6.6,6.1
2020/04/08,18:00,流心,18.0,7.1,7.1,30.2,6.4,6.3
2020/04/08,19:00,流心,17.8,7.1,7.0,30.8,6.4,6.0
2020/04/08,20:00,流心,17.6,7.0,6.6,30.8,6.0,6.2
2020/04/08,21:00,流心,17.4,7.1,6.7,31.6,5.8,6.2
2020/04/08,22:00,流心,16.9,7.0,6.6,31.5,5.6,6.3
2020/04/08,23:00,流心,17.0,7.1,6.7,30.8,5.4,6.2
2020/04/08,24:00,流心,16.4,7.0,6.6,30.6,5.0,6.2
2020/04/09,01:00,流心,16.6,7.1,6.7,30.4,5.2,6.0
2020/04/09,02:00,流心,16.0,7.0,6.6,31.1,5.0,6.2
2020/04/09,03:00,流心,15.8,7.0,6.8,30.8,5.2,6.2
2020/04/09,04:00,流心,15.4,7.0,6.7,30.2,4.6,6.4
2020/04/09,05:00,流心,15.4,7.0,6.8,30.5,5.0,6.0
2020/04/09,06:00,流心,15.1,7.0,6.6,31.8,4.8,6.3
2020/04/09,07:00,流心,15.0,7.0,6.8,32.7,5.2,6.7
2020/04/09,08:00,流心,15.2,7.0,6.8,32.8,5.2,6.8
2020/04/09,09:00,流心,15.4,7.0,7.2,33.9,5.2,6.9
2020/04/09,10:00,流心,16.2,7.0,7.1,33.8,5.0,7.2
2020/04/09,11:00,流心,16.7,7.0,7.4,35.0,5.6,6.8
2020/04/09,12:00,流心,17.4,7.0,7.3,35.1,6.0,7.2
2020/04/09,13:00,流心,17.8,7.0,7.5,35.3,5.8,7.1
2020/04/09,14:00,流心,18.2,7.0,7.5,35.1,5.8,6.8
2020/04/09,15:00,流心,18.4,7.1,7.6,34.9,5.8,6.7
2020/04/09,16:00,流心,18.0,7.1,7.5,35.0,5.8,6.8
2020/04/09,17:00,流心,18.2,7.1,7.6,34.3,6.2,6.8
2020/04/09,18:00,流心,17.6,7.1,7.4,34.6,5.6,6.8
2020/04/09,19:00,流心,17.6,7.2,7.2,34.7,5.8,6.7
2020/04/09,20:00,流心,17.1,7.1,6.7,35.1,5.6,6.8
2020/04/09,21:00,流心,16.9,7.1,6.7,35.0,5.8,7.2
2020/04/09,22:00,流心,16.8,7.1,6.6,34.6,5.2,7.1
2020/04/09,23:00,流心,16.5,7.1,6.8,35.1,5.0,7.0
2020/04/09,24:00,流心,16.4,7.1,6.6,34.4,4.8,6.9
2020/04/10,01:00,流心,15.9,7.1,6.9,35.7,4.6,6.9
2020/04/10,02:00,流心,15.6,7.1,6.7,35.9,4.4,6.9
2020/04/10,03:00,流心,15.4,7.1,6.8,37.1,4.4,7.1
2020/04/10,04:00,流心,15.2,7.1,6.7,36.6,4.0,7.2
2020/04/10,05:00,流心,15.4,7.1,6.7,35.8,4.0,7.0
2020/04/10,06:00,流心,14.9,7.0,6.6,36.3,4.0,6.8
2020/04/10,07:00,流心,15.1,7.0,6.6,36.2,4.4,7.2
2020/04/10,08:00,流心,14.8,7.0,6.8,36.6,4.0,6.9
2020/04/10,09:00,流心,15.2,7.0,7.2,36.6,4.4,7.2
2020/04/10,10:00,流心,15.7,7.0,7.2,37.0,4.0,7.0
2020/04/10,11:00,流心,16.5,7.0,7.4,37.1,5.0,7.4
2020/04/10,12:00,流心,17.2,7.0,7.3,37.0,5.0,7.0
2020/04/10,13:00,流心,17.6,7.0,7.5,37.6,5.4,7.2
2020/04/10,14:00,流心,18.0,7.1,7.4,37.0,5.6,7.5
2020/04/10,15:00,流心,18.0,7.1,7.7,36.9,6.0,7.2
2020/04/10,16:00,流心,17.8,7.1,7.7,35.7,5.8,7.4
2020/04/10,17:00,流心,17.6,7.2,7.8,35.6,6.4,7.2
2020/04/10,18:00,流心,17.0,7.2,7.5,35.7,5.8,7.0
2020/04/10,19:00,流心,16.5,7.2,7.5,36.3,5.8,6.9
2020/04/10,20:00,流心,16.0,7.2,7.1,36.3,5.2,7.1
2020/04/10,21:00,流心,15.9,7.2,7.0,36.2,5.2,7.3
2020/04/10,22:00,流心,15.4,7.2,6.9,36.4,4.8,7.2
2020/04/10,23:00,流心,15.5,7.2,6.9,36.1,5.0,7.1
2020/04/10,24:00,流心,14.9,7.2,7.0,36.9,4.4,7.1
2020/04/11,01:00,流心,15.0,7.2,7.0,36.2,4.6,7.0
2020/04/11,02:00,流心,14.3,7.1,7.0,36.9,4.0,7.2
2020/04/11,03:00,流心,14.3,7.1,7.1,37.1,4.2,7.2
2020/04/11,04:00,流心,13.9,7.1,7.0,37.6,4.0,7.4
2020/04/11,05:00,流心,14.0,7.1,7.1,37.4,4.0,7.4
2020/04/11,06:00,流心,13.6,7.0,6.9,37.5,3.6,7.3
2020/04/11,07:00,流心,13.6,7.0,7.1,37.5,4.0,7.2
2020/04/11,08:00,流心,13.9,7.0,7.1,37.5,3.8,7.4
2020/04/11,09:00,流心,14.4,7.0,7.5,38.8,4.0,7.5
2020/04/11,10:00,流心,15.3,7.1,7.5,39.1,3.8,7.6
2020/04/11,11:00,流心,16.0,7.1,7.7,39.8,4.4,7.5
2020/04/11,12:00,流心,16.8,7.0,7.6,39.8,4.4,7.4
2020/04/11,13:00,流心,17.4,7.0,7.8,40.2,5.0,7.8
2020/04/11,14:00,流心,17.6,7.0,7.7,40.0,4.6,7.6
2020/04/11,15:00,流心,18.0,7.0,7.8,39.8,5.2,7.6
2020/04/11,16:00,流心,17.8,7.1,7.7,39.6,5.2,7.6
2020/04/11,17:00,流心,18.0,7.1,7.8,39.2,5.6,7.2
2020/04/11,18:00,流心,17.4,7.1,7.6,39.4,5.4,7.6
2020/04/11,19:00,流心,17.6,7.1,7.4,38.7,5.6,7.3
2020/04/11,20:00,流心,17.0,7.1,6.9,39.4,5.0,7.4
2020/04/11,21:00,流心,17.0,7.1,6.9,38.9,5.4,7.6
2020/04/11,22:00,流心,16.8,7.1,6.7,38.9,4.6,7.5
2020/04/11,23:00,流心,16.6,7.1,6.7,39.8,4.6,7.7
2020/04/11,24:00,流心,16.5,7.1,6.5,39.7,4.0,7.4
2020/04/12,01:00,流心,16.2,7.0,6.7,41.2,4.0,7.6
2020/04/12,02:00,流心,16.2,7.0,6.4,40.3,4.0,7.4
2020/04/12,03:00,流心,15.8,7.0,6.6,41.7,3.6,7.3
2020/04/12,04:00,流心,15.8,7.0,6.4,41.5,3.2,7.6
2020/04/12,05:00,流心,15.6,7.0,6.5,43.5,3.4,7.3
2020/04/12,06:00,流心,15.4,7.0,6.4,43.3,3.2,7.8
2020/04/12,07:00,流心,15.5,7.0,6.5,43.1,3.6,7.5
2020/04/12,08:00,流心,15.4,7.0,6.6,43.1,3.2,8.0
2020/04/12,09:00,流心,16.0,7.0,7.0,42.1,3.8,7.6
2020/04/12,10:00,流心,16.0,7.0,7.2,42.7,3.8,7.9
2020/04/12,11:00,流心,16.6,7.0,7.4,42.0,4.6,8.2
2020/04/12,12:00,流心,16.6,7.0,7.4,42.0,4.8,7.7
2020/04/12,13:00,流心,16.8,7.0,7.7,41.6,5.6,7.8
2020/04/12,14:00,流心,16.6,7.0,7.6,41.3,5.2,7.7
2020/04/12,15:00,流心,16.7,7.0,7.8,40.9,5.8,7.9
2020/04/12,16:00,流心,16.4,7.0,7.6,40.8,5.2,7.8
2020/04/12,17:00,流心,16.4,7.1,7.6,40.2,5.2,8.0
2020/04/12,18:00,流心,16.2,7.1,7.4,39.0,4.8,7.5
2020/04/12,19:00,流心,16.0,7.1,7.5,39.4,5.0,7.5
2020/04/12,20:00,流心,16.0,7.1,7.1,39.3,4.4,7.6
2020/04/12,21:00,流心,15.8,7.1,7.2,39.5,4.4,7.2
2020/04/12,22:00,流心,15.4,7.1,6.8,38.5,4.2,7.3
2020/04/12,23:00,流心,15.6,7.1,6.9,36.9,4.6,7.4
2020/04/12,24:00,流心,15.0,7.1,6.8,35.6,6.0,7.2
2020/04/13,01:00,流心,15.2,7.1,6.9,33.5,9.0,7.2
2020/04/13,02:00,流心,15.0,7.0,6.6,34.5,8.8,7.1
2020/04/13,03:00,流心,15.0,7.0,6.6,34.4,8.8,7.8
2020/04/13,04:00,流心,15.0,7.0,6.3,34.2,8.0,7.9
2020/04/13,05:00,流心,14.9,7.0,6.4,34.0,8.4,7.8
2020/04/13,06:00,流心,15.0,7.0,6.1,32.9,8.4,8.2
2020/04/13,07:00,流心,14.7,7.0,6.4,32.4,8.4,7.7
2020/04/13,08:00,流心,14.6,7.0,6.2,31.9,8.0,7.7
2020/04/13,09:00,流心,15.0,7.0,6.6,32.6,8.0,7.5
2020/04/13,10:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/13,11:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/13,12:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/13,13:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/13,14:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/13,15:00,流心,13.4,7.1,9.7,13.6,56.2,9.9
2020/04/13,16:00,流心,13.4,7.1,9.8,14.0,43.4,8.8
2020/04/13,17:00,流心,13.4,7.2,9.9,13.2,45.8,7.8
2020/04/13,18:00,流心,13.3,7.2,10.6,12.1,44.6,7.4
2020/04/13,19:00,流心,13.4,7.2,10.5,11.8,48.0,7.3
2020/04/13,20:00,流心,13.6,7.2,9.9,11.8,43.4,6.7
2020/04/13,21:00,流心,13.4,7.1,10.0,12.4,44.8,6.5
2020/04/13,22:00,流心,13.1,7.1,9.8,12.4,45.6,6.3
2020/04/13,23:00,流心,13.1,7.1,9.9,12.3,49.2,6.4
2020/04/13,24:00,流心,12.8,7.1,9.8,12.4,47.8,6.2
2020/04/14,01:00,流心,13.0,7.1,10.0,12.6,46.0,6.0
2020/04/14,02:00,流心,12.5,7.1,10.1,12.9,40.6,5.8
2020/04/14,03:00,流心,12.4,7.1,10.0,13.5,37.0,5.9
2020/04/14,04:00,流心,12.2,7.1,10.0,14.0,34.0,5.6
2020/04/14,05:00,流心,12.0,7.1,10.2,14.7,33.4,5.7
2020/04/14,06:00,流心,12.0,7.1,10.1,15.0,31.2,5.6
2020/04/14,07:00,流心,11.6,7.1,10.4,15.6,31.4,5.5
2020/04/14,08:00,流心,11.8,7.1,10.5,16.3,28.6,6.0
2020/04/14,09:00,流心,11.9,7.1,10.7,17.0,27.8,5.6
2020/04/14,10:00,流心,12.4,7.1,10.8,17.5,25.2,5.5
2020/04/14,11:00,流心,13.0,7.1,10.8,18.4,27.4,5.5
2020/04/14,12:00,流心,13.7,7.1,10.7,19.3,25.0,5.7
2020/04/14,13:00,流心,14.6,7.2,10.8,20.3,24.4,5.6
2020/04/14,14:00,流心,15.2,7.2,10.5,21.0,23.2,6.1
2020/04/14,15:00,流心,15.9,7.2,10.3,21.2,21.8,5.8
2020/04/14,16:00,流心,15.8,7.2,10.1,21.5,19.6,5.7
2020/04/14,17:00,流心,16.0,7.2,10.2,21.8,18.6,5.8
2020/04/14,18:00,流心,15.7,7.2,10.0,22.2,16.4,5.7
2020/04/14,19:00,流心,15.5,7.2,9.9,22.3,15.8,5.9
2020/04/14,20:00,流心,15.2,7.2,9.7,22.4,14.6,5.7
2020/04/14,21:00,流心,14.9,7.2,9.8,23.3,14.0,5.8
2020/04/14,22:00,流心,14.8,7.2,9.6,23.5,12.4,5.8
2020/04/14,23:00,流心,14.4,7.2,9.7,23.5,11.8,5.8
2020/04/14,24:00,流心,14.2,7.1,9.5,23.8,10.0,5.8
2020/04/15,01:00,流心,14.0,7.1,9.6,24.1,10.0,5.7
2020/04/15,02:00,流心,13.7,7.1,9.4,24.4,9.2,6.0
2020/04/15,03:00,流心,13.6,7.1,9.6,24.5,9.2,6.0
2020/04/15,04:00,流心,13.2,7.1,9.4,24.7,8.6,6.0
2020/04/15,05:00,流心,13.4,7.1,9.6,24.5,8.6,5.9
2020/04/15,06:00,流心,13.2,7.0,9.4,25.0,8.4,5.7
2020/04/15,07:00,流心,13.4,7.0,9.5,25.2,8.4,6.2
2020/04/15,08:00,流心,13.2,7.0,9.6,25.3,8.0,5.8
2020/04/15,09:00,流心,14.2,7.1,9.9,25.1,8.2,5.7
2020/04/15,10:00,流心,14.2,7.0,10.0,25.2,8.2,5.9
2020/04/15,11:00,流心,15.2,7.1,10.1,25.1,8.4,6.1
2020/04/15,12:00,流心,15.5,7.1,10.2,25.1,8.2,5.8
2020/04/15,13:00,流心,15.8,7.1,10.2,25.3,8.2,5.6
2020/04/15,14:00,流心,16.6,7.1,10.1,25.6,8.0,5.8
2020/04/15,15:00,流心,17.2,7.1,9.9,26.1,8.2,5.9
2020/04/15,16:00,流心,17.6,7.2,9.8,26.2,8.0,5.7
2020/04/15,17:00,流心,17.4,7.2,9.7,26.7,8.0,5.9
2020/04/15,18:00,流心,17.4,7.2,9.3,27.1,7.8,5.8
2020/04/15,19:00,流心,17.2,7.1,9.2,27.4,8.0,5.8
2020/04/15,20:00,流心,16.9,7.1,8.8,27.9,7.6,6.1
2020/04/15,21:00,流心,17.0,7.1,8.7,29.0,7.6,5.9
2020/04/15,22:00,流心,16.5,7.1,8.7,29.2,7.2,6.1
2020/04/15,23:00,流心,16.6,7.1,8.7,28.9,7.6,6.0
2020/04/15,24:00,流心,16.0,7.1,8.5,29.1,7.2,5.9
2020/04/16,01:00,流心,16.2,7.1,8.6,29.4,7.2,5.8
2020/04/16,02:00,流心,15.8,7.0,8.5,29.8,7.0,5.8
2020/04/16,03:00,流心,15.8,7.0,8.5,29.8,7.2,6.0
2020/04/16,04:00,流心,15.6,7.0,8.4,29.8,6.6,6.6
2020/04/16,05:00,流心,15.2,7.0,8.5,29.8,7.0,6.0
2020/04/16,06:00,流心,15.3,7.0,8.3,29.8,7.0,6.1
2020/04/16,07:00,流心,15.0,7.0,8.7,31.0,7.2,5.8
2020/04/16,08:00,流心,15.4,7.0,8.6,30.4,7.0,6.2
2020/04/16,09:00,流心,15.3,7.0,9.1,30.6,7.2,6.2
2020/04/16,10:00,流心,16.0,7.0,9.1,30.1,7.2,6.3
2020/04/16,11:00,流心,16.3,7.0,9.5,30.6,7.6,6.2
2020/04/16,12:00,流心,16.9,7.0,9.5,30.4,7.2,6.3
2020/04/16,13:00,流心,17.6,7.0,9.6,30.3,8.0,6.2
2020/04/16,14:00,流心,17.8,7.0,9.6,30.6,7.6,6.2
2020/04/16,15:00,流心,18.6,7.1,9.5,30.6,8.0,6.0
2020/04/16,16:00,流心,18.4,7.1,9.4,31.4,7.4,6.3
2020/04/16,17:00,流心,18.8,7.1,9.4,31.7,7.8,6.4
2020/04/16,18:00,流心,18.2,7.1,9.1,31.5,7.6,6.4
2020/04/16,19:00,流心,18.0,7.1,8.9,30.9,7.8,6.3
2020/04/16,20:00,流心,17.4,7.1,8.4,30.4,7.2,6.3
2020/04/16,21:00,流心,17.4,7.1,8.4,30.2,7.4,6.3
2020/04/16,22:00,流心,17.2,7.1,8.4,29.8,7.2,6.1
2020/04/16,23:00,流心,16.9,7.1,8.5,29.8,7.0,5.7
2020/04/16,24:00,流心,16.9,7.1,8.4,30.0,7.0,6.2
2020/04/17,01:00,流心,16.6,7.1,8.5,31.8,6.6,5.8
2020/04/17,02:00,流心,16.8,7.1,8.3,32.2,6.4,6.0
2020/04/17,03:00,流心,16.6,7.0,8.3,34.3,6.2,6.0
2020/04/17,04:00,流心,16.6,7.0,8.1,33.9,6.0,6.3
2020/04/17,05:00,流心,16.5,7.0,8.2,34.2,6.4,6.0
2020/04/17,06:00,流心,16.4,7.0,8.0,33.8,5.8,6.4
2020/04/17,07:00,流心,16.3,7.0,8.2,33.8,6.4,6.2
2020/04/17,08:00,流心,16.4,7.0,8.2,33.5,6.0,6.6
2020/04/17,09:00,流心,16.8,7.0,8.8,33.3,6.6,6.4
2020/04/17,10:00,流心,17.2,7.0,8.9,33.1,6.4,6.3
2020/04/17,11:00,流心,17.8,7.0,9.2,32.8,7.2,6.3
2020/04/17,12:00,流心,18.0,7.0,9.3,33.6,7.2,6.5
2020/04/17,13:00,流心,18.6,7.0,9.4,33.4,7.6,6.4
2020/04/17,14:00,流心,18.7,7.1,9.3,33.1,7.6,6.5
2020/04/17,15:00,流心,18.8,7.1,9.6,33.0,7.6,6.5
2020/04/17,16:00,流心,18.6,7.1,9.4,32.6,7.6,6.7
2020/04/17,17:00,流心,18.4,7.1,9.3,32.6,7.8,6.2
2020/04/17,18:00,流心,18.2,7.1,8.8,32.3,7.2,6.5
2020/04/17,19:00,流心,18.0,7.1,8.7,32.8,7.4,6.0
2020/04/17,20:00,流心,17.8,7.1,8.2,32.9,6.4,6.5
2020/04/17,21:00,流心,18.0,7.1,8.3,32.8,7.4,6.2
2020/04/17,22:00,流心,17.4,7.0,8.1,33.4,6.4,6.1
2020/04/17,23:00,流心,17.6,7.0,8.3,33.6,7.0,6.3
2020/04/17,24:00,流心,17.4,7.1,8.2,33.0,8.8,6.4
2020/04/18,01:00,流心,17.0,7.1,8.5,26.2,24.4,6.4
2020/04/18,02:00,流心,17.1,7.1,8.3,24.2,21.6,7.6
2020/04/18,03:00,流心,16.7,7.0,8.4,25.1,20.4,7.5
2020/04/18,04:00,流心,16.6,7.0,8.1,26.8,17.0,7.2
2020/04/18,05:00,流心,16.8,7.0,8.2,27.2,16.8,7.0
2020/04/18,06:00,流心,16.4,7.0,7.9,26.0,14.8,6.8
2020/04/18,07:00,流心,16.4,7.0,8.3,24.2,16.4,6.9
2020/04/18,08:00,流心,16.2,7.0,8.2,23.8,14.6,6.6
2020/04/18,09:00,流心,16.0,7.1,8.8,21.0,22.0,6.4
2020/04/18,10:00,流心,15.8,7.1,9.0,16.8,36.6,7.0
2020/04/18,11:00,流心,15.8,7.1,9.4,13.2,49.0,7.5
2020/04/18,12:00,流心,15.5,7.1,9.6,11.8,52.8,8.8
2020/04/18,13:00,流心,15.9,7.1,9.6,11.8,53.4,9.0
2020/04/18,14:00,流心,15.8,7.1,9.5,11.3,45.0,8.5
2020/04/18,15:00,流心,15.8,7.2,9.7,11.6,46.4,7.5
2020/04/18,16:00,流心,15.9,7.2,9.7,11.8,47.2,7.4
2020/04/18,17:00,流心,15.7,7.2,9.9,11.6,58.0,7.5
2020/04/18,18:00,流心,15.3,7.2,9.9,10.9,66.8,8.3
2020/04/18,19:00,流心,15.2,7.2,9.7,10.8,76.4,8.8
2020/04/18,20:00,流心,14.9,7.2,9.8,10.3,72.4,8.4
2020/04/18,21:00,流心,14.9,7.2,9.9,10.3,71.0,8.1
2020/04/18,22:00,流心,14.6,7.2,9.9,10.1,68.0,7.9
2020/04/18,23:00,流心,14.5,7.2,9.8,9.8,67.0,7.8
2020/04/18,24:00,流心,14.3,7.2,9.8,10.1,59.0,8.0
2020/04/19,01:00,流心,14.2,7.2,9.9,10.1,57.6,7.6
2020/04/19,02:00,流心,14.0,7.2,9.9,10.5,51.8,7.7
2020/04/19,03:00,流心,13.8,7.2,10.0,10.8,50.8,7.8
2020/04/19,04:00,流心,13.6,7.2,10.0,10.9,47.6,7.4
2020/04/19,05:00,流心,13.4,7.2,10.2,11.2,47.2,7.3
2020/04/19,06:00,流心,13.3,7.2,10.1,11.8,42.8,7.4
2020/04/19,07:00,流心,13.7,7.2,10.1,12.4,41.2,7.1
2020/04/19,08:00,流心,13.4,7.2,10.0,12.6,37.6,7.2
2020/04/19,09:00,流心,14.0,7.2,10.2,12.8,36.2,7.0
2020/04/19,10:00,流心,14.4,7.2,10.2,12.7,32.2,6.7
2020/04/19,11:00,流心,15.2,7.2,10.3,13.2,29.6,6.7
2020/04/19,12:00,流心,16.0,7.2,10.0,13.3,25.0,6.4
2020/04/19,13:00,流心,16.6,7.2,10.0,13.4,24.0,6.4
2020/04/19,14:00,流心,17.1,7.2,9.9,13.7,21.8,6.0
2020/04/19,15:00,流心,17.6,7.3,9.7,14.0,20.4,6.0
2020/04/19,16:00,流心,17.6,7.3,9.6,14.3,18.6,6.0
2020/04/19,17:00,流心,17.6,7.3,9.5,14.3,17.6,5.8
2020/04/19,18:00,流心,17.4,7.3,9.3,14.7,16.4,5.7
2020/04/19,19:00,流心,17.4,7.3,9.2,15.3,15.8,5.4
2020/04/19,20:00,流心,17.2,7.2,9.0,15.3,13.8,5.6
2020/04/19,21:00,流心,17.2,7.2,8.9,15.4,14.0,5.1
2020/04/19,22:00,流心,17.1,7.2,8.9,15.7,12.2,4.9
2020/04/19,23:00,流心,16.8,7.2,9.1,15.7,11.8,5.4
2020/04/19,24:00,流心,16.6,7.2,8.9,15.7,10.0,5.0
2020/04/20,01:00,流心,16.5,7.2,9.0,16.1,10.0,4.8
2020/04/20,02:00,流心,16.2,7.2,8.8,16.1,9.4,5.1
2020/04/20,03:00,流心,16.4,7.2,9.0,16.6,9.8,4.9
2020/04/20,04:00,流心,15.9,7.2,8.7,16.8,9.2,4.9
2020/04/20,05:00,流心,16.2,7.2,8.8,16.6,9.2,4.8
2020/04/20,06:00,流心,15.7,7.2,8.9,16.3,9.0,4.6
2020/04/20,07:00,流心,15.7,7.1,9.0,15.7,15.6,4.6
2020/04/20,08:00,流心,15.7,7.2,8.9,16.9,12.2,6.7
2020/04/20,09:00,流心,15.7,7.2,9.0,18.0,62.0,5.6
2020/04/20,10:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/20,11:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/20,12:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/20,13:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/20,14:00,流心,閉局,閉局,閉局,閉局,閉局,閉局
2020/04/20,15:00,流心,15.8,7.2,9.8,10.7,41.8,6.1
2020/04/20,16:00,流心,15.9,7.2,9.6,10.9,40.4,5.7
2020/04/20,17:00,流心,15.8,7.2,9.6,11.6,35.2,5.8
2020/04/20,18:00,流心,15.8,7.2,9.7,11.8,34.6,5.6
2020/04/20,19:00,流心,15.7,7.2,9.4,11.9,35.0,5.6
2020/04/20,20:00,流心,15.4,7.2,9.6,11.8,42.0,5.5
2020/04/20,21:00,流心,15.2,7.2,9.6,11.6,42.4,5.3
2020/04/20,22:00,流心,15.3,7.2,9.7,11.9,40.6,5.1
2020/04/20,23:00,流心,15.0,7.2,9.6,12.1,36.2,5.4
2020/04/20,24:00,流心,15.0,7.2,9.6,12.5,32.2,4.8
2020/04/21,01:00,流心,14.6,7.2,9.5,12.6,27.6,4.6
2020/04/21,02:00,流心,14.6,7.1,9.7,12.8,25.0,4.8
2020/04/21,03:00,流心,14.6,7.2,9.6,13.3,23.0,4.6
2020/04/21,04:00,流心,14.3,7.1,9.7,13.4,22.6,4.6
2020/04/21,05:00,流心,14.2,7.2,9.5,14.1,20.6,4.6
2020/04/21,06:00,流心,14.2,7.1,9.7,14.4,20.6,4.4
2020/04/21,07:00,流心,14.2,7.1,9.5,15.0,19.6,5.2
2020/04/21,08:00,流心,14.4,7.2,9.8,15.1,19.0,5.3
2020/04/21,09:00,流心,14.4,7.2,9.8,14.6,17.0,4.8
2020/04/21,10:00,流心,14.8,7.2,9.9,14.6,16.2,4.8
2020/04/21,11:00,流心,14.7,7.2,10.0,14.7,14.8,4.4
2020/04/21,12:00,流心,15.0,7.2,10.0,14.6,14.6,4.2
2020/04/21,13:00,流心,15.3,7.2,9.9,15.0,13.6,4.4
2020/04/21,14:00,流心,15.9,7.2,10.0,15.7,13.6,4.2
2020/04/21,15:00,流心,16.0,7.2,9.8,15.8,12.8,4.4
2020/04/21,16:00,流心,16.2,7.3,9.8,17.0,13.0,4.8
2020/04/21,17:00,流心,16.5,7.3,9.4,16.9,12.2,4.6
2020/04/21,18:00,流心,16.2,7.2,9.7,16.6,11.8,4.6
2020/04/21,19:00,流心,16.0,7.2,9.4,16.7,10.4,4.2
2020/04/21,20:00,流心,16.2,7.2,9.4,16.9,10.4,4.6
2020/04/21,21:00,流心,15.7,7.2,9.2,16.7,9.6,4.6
2020/04/21,22:00,流心,15.8,7.2,9.4,17.9,9.6,4.1
2020/04/21,23:00,流心,15.8,7.2,9.1,18.4,9.0,4.0
2020/04/21,24:00,流心,15.5,7.1,9.2,18.5,9.2,4.0
2020/04/22,01:00,流心,15.3,7.1,9.2,19.4,8.4,4.3
2020/04/22,02:00,流心,15.2,7.1,9.2,20.3,8.4,4.4
2020/04/22,03:00,流心,15.1,7.1,9.1,20.6,8.0,4.1
2020/04/22,04:00,流心,15.3,7.1,9.1,21.6,8.4,4.8
2020/04/22,05:00,流心,14.8,7.1,9.1,21.8,8.0,4.7
2020/04/22,06:00,流心,14.6,7.1,9.3,21.4,8.2,4.8
2020/04/22,07:00,流心,14.6,7.1,9.3,21.4,8.0,4.6
2020/04/22,08:00,流心,14.4,7.1,9.7,21.4,8.2,4.8
2020/04/22,09:00,流心,14.8,7.1,9.6,21.5,8.2,4.8
2020/04/22,10:00,流心,15.2,7.1,9.9,21.5,8.6,4.4
2020/04/22,11:00,流心,15.4,7.1,9.7,21.5,8.4,4.7
2020/04/22,12:00,流心,16.3,7.1,10.0,21.5,8.4,4.7
2020/04/22,13:00,流心,16.6,7.2,9.8,22.1,8.4,4.4
